City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
336,Villa Rica,US,33.73,-84.92,82.99,69,40,5.95,scattered clouds
337,Cockburn Town,TC,21.46,-71.14,84.4,80,100,24.52,overcast clouds
338,Manono,CD,-7.3,27.42,77.47,40,80,3.51,broken clouds
339,Trinidad,BO,-14.83,-64.9,72.05,49,0,3.76,clear sky
340,Laguna,US,38.42,-121.42,97.0,12,1,10.29,haze
341,Rodrigues Alves,BR,-7.74,-72.65,72.37,72,28,0.67,scattered clouds
342,Ilulissat,GL,69.22,-51.1,44.6,65,0,2.24,clear sky
343,Shingu,JP,33.73,135.98,82.4,78,75,2.24,broken clouds
344,Coquimbo,CL,-29.95,-71.34,55.4,58,75,3.36,broken clouds
345,Shaghat,AM,39.56,45.91,57.2,82,40,6.93,scattered clouds
346,Lincoln,US,40.8,-96.67,93.2,44,1,10.29,clear sky
347,Bathsheba,BB,13.22,-59.52,82.4,78,40,8.05,scattered clouds
348,Kyaikkami,MM,16.08,97.57,78.4,85,99,8.97,light rain
349,Flinders,AU,-34.58,150.86,55.99,52,0,8.01,clear sky
350,Abu Samrah,SY,35.3,37.18,68.18,42,0,3.85,clear sky
351,Port Lincoln,AU,-34.73,135.87,51.6,71,71,5.12,broken clouds
352,Dolores,AR,-36.31,-57.68,51.24,76,31,11.1,scattered clouds
353,Palmer,US,42.16,-72.33,82.0,78,75,11.41,very heavy rain
354,Bayshore Gardens,US,27.43,-82.59,84.2,83,1,3.36,clear sky
355,Bowmore,US,34.94,-79.3,80.6,83,1,6.93,clear sky
356,Brabova,RO,44.37,23.43,72.0,82,2,4.65,clear sky
357,Stephenville,US,32.22,-98.2,93.2,23,40,6.93,scattered clouds
358,Laje,BR,-10.18,-40.97,70.57,69,0,10.4,clear sky
359,Guaratinga,BR,-16.57,-39.57,68.0,82,75,6.93,broken clouds
360,Guarumal,PA,8.35,-82.53,82.0,78,40,5.82,scattered clouds
361,Agbor,NG,6.25,6.19,72.18,92,100,3.56,overcast clouds
362,Peniche,PT,39.36,-9.38,66.99,91,0,4.0,clear sky
363,Oistins,BB,13.07,-59.53,82.4,78,40,8.05,scattered clouds
364,High Prairie,CA,55.43,-116.49,63.43,64,16,8.19,few clouds
365,Maniitsoq,GL,65.42,-52.9,44.91,88,66,5.08,broken clouds
