City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
154,Moranbah,AU,2020-08-23 19:28:47,-22.0,148.05,51.93,43,0,8.7
155,Komsomolskiy,UZ,2020-08-23 19:28:47,40.43,71.72,75.2,44,0,2.24
156,Bluff,NZ,2020-08-23 19:28:47,-46.6,168.33,48.6,88,14,14.12
157,Swan Hill,AU,2020-08-23 19:28:47,-35.34,143.55,35.06,93,0,6.46
158,Puerto Madryn,AR,2020-08-23 19:28:48,-42.77,-65.04,64.78,29,96,12.19
159,Fare,PF,2020-08-23 19:28:48,-16.7,-151.02,77.22,77,0,20.6
160,Nhulunbuy,AU,2020-08-23 19:28:48,-12.23,136.77,66.2,77,0,3.36
161,Tasiilaq,GL,2020-08-23 19:28:48,65.61,-37.64,46.4,75,0,6.93
162,Muttupet,IN,2020-08-23 19:28:48,10.4,79.48,82.08,83,35,14.16
163,Nador,MA,2020-08-23 19:28:22,35.17,-2.93,78.8,83,0,3.36
164,Chuy,UY,2020-08-23 19:28:48,-33.7,-53.46,61.48,63,0,10.71
165,Tanete,ID,2020-08-23 19:28:48,-3.94,119.78,71.96,88,26,4.97
166,Sao Filipe,CV,2020-08-23 19:25:46,14.9,-24.5,79.61,78,100,5.99
167,Airai,TL,2020-08-23 19:28:48,-8.93,125.41,57.13,36,88,4.05
168,Dingle,PH,2020-08-23 19:25:20,11.0,122.67,76.5,87,100,0.49
169,Coari,BR,2020-08-23 19:28:48,-4.08,-63.14,96.26,27,0,0.78
170,Constitucion,CL,2020-08-23 19:28:48,-35.33,-72.42,53.91,71,100,19.55
171,Jiuquan,CN,2020-08-23 19:28:49,39.74,98.52,71.56,22,0,7.16
172,Cidreira,BR,2020-08-23 19:28:49,-30.18,-50.21,61.74,73,0,16.08
173,Nouadhibou,MR,2020-08-23 19:28:49,20.93,-17.03,77.0,73,0,18.34
174,Minna,NG,2020-08-23 19:28:49,9.61,6.56,75.65,88,100,2.55
175,Hamilton,US,2020-08-23 19:27:36,39.18,-84.53,87.01,61,75,4.88
176,Dunn,US,2020-08-23 19:28:49,44.95,-91.88,84.99,58,40,6.93
177,Victoria,HK,2020-08-23 19:23:55,22.29,114.16,84.0,79,63,8.99
178,Ljungby,SE,2020-08-23 19:28:49,56.83,13.94,59.0,100,0,8.05
179,Henties Bay,NA,2020-08-23 19:28:49,-22.12,14.28,57.99,86,0,5.01
180,Bayonne,FR,2020-08-23 19:28:49,43.33,-1.42,70.0,68,20,4.7
181,Tolaga Bay,NZ,2020-08-23 19:28:49,-38.37,178.3,54.64,71,0,13.18
182,Ahipara,NZ,2020-08-23 19:28:49,-35.17,173.17,54.88,80,89,18.72
183,Licata,IT,2020-08-23 19:28:49,37.11,13.95,86.0,33,0,6.93
184,Yellowknife,CA,2020-08-23 19:26:37,62.46,-114.35,59.0,54,40,8.05
185,Det Udom,TH,2020-08-23 19:28:49,14.91,105.08,77.0,100,80,6.55
186,Kaitangata,NZ,2020-08-23 19:28:50,-46.28,169.85,53.01,90,100,14.0
187,Olavarria,AR,2020-08-23 19:28:50,-36.89,-60.32,66.0,33,0,5.01
188,Ciudad Guayana,VE,2020-08-23 19:28:50,8.35,-62.65,87.98,61,90,1.28
189,Alofi,NU,2020-08-23 19:28:50,-19.06,-169.92,77.0,78,100,10.29
190,Lasa,IT,2020-08-23 19:28:50,46.62,10.7,62.01,67,20,3.36
191,La Roda,ES,2020-08-23 19:28:50,39.22,-2.15,82.99,57,11,10.29
192,Nikki,BJ,2020-08-23 19:28:50,9.94,3.21,73.67,87,73,4.9
193,Panaba,MX,2020-08-23 19:28:50,21.28,-88.27,95.79,47,100,0.74
194,Campbellsville,US,2020-08-23 19:28:50,37.34,-85.34,82.0,73,40,5.82
195,Vardo,NO,2020-08-23 19:28:50,70.37,31.11,55.4,93,100,14.99
196,Lebu,CL,2020-08-23 19:25:24,-37.62,-73.65,50.72,90,100,20.69
197,Hithadhoo,MV,2020-08-23 19:28:50,-0.6,73.08,82.47,78,11,12.01
198,Nhamunda,BR,2020-08-23 19:28:50,-2.19,-56.71,99.75,25,56,1.16
199,Sept-Iles,CA,2020-08-23 19:28:50,50.2,-66.38,64.4,52,20,6.93
200,San Vicente,AR,2020-08-23 19:28:50,-26.62,-54.13,66.45,53,0,5.1
201,Poum,NC,2020-08-23 19:23:58,-20.23,164.02,71.85,82,93,16.8
202,Inuvik,CA,2020-08-23 19:28:51,68.35,-133.72,66.2,55,75,9.17
203,Rocky Mountain House,CA,2020-08-23 19:28:51,52.37,-114.92,65.91,61,1,2.8
204,Tiksi,RU,2020-08-23 19:28:51,71.69,128.87,37.63,79,100,10.02
205,Kungurtug,RU,2020-08-23 19:28:51,50.6,97.52,46.08,66,91,2.15
206,Boardman,US,2020-08-23 19:27:08,41.02,-80.66,87.8,43,75,5.82
207,Ilulissat,GL,2020-08-23 19:28:51,69.22,-51.1,46.4,52,0,3.36
208,Ukiah,US,2020-08-23 19:28:51,39.15,-123.21,87.01,32,20,3.36
209,Coihueco,CL,2020-08-23 19:25:44,-36.62,-71.83,51.8,81,90,14.99
210,Cherskiy,RU,2020-08-23 19:25:29,68.75,161.3,38.28,93,100,13.27
211,Pitkyaranta,RU,2020-08-23 19:25:49,61.57,31.48,62.69,79,13,13.82
212,Vatne,NO,2020-08-23 19:28:51,62.57,6.65,51.8,66,40,12.75
213,Mogadishu,SO,2020-08-23 19:26:41,2.04,45.34,76.55,79,93,13.69
214,Chapais,CA,2020-08-23 19:28:51,49.78,-74.85,68.0,49,75,6.93
215,Nantucket,US,2020-08-23 19:28:51,41.28,-70.1,75.0,88,75,12.75
216,Wanaka,NZ,2020-08-23 19:28:51,-44.7,169.15,42.01,84,100,0.4
217,Hovd,MN,2020-08-23 19:28:51,48.01,91.64,60.22,43,18,7.09
218,Ardahan,TR,2020-08-23 19:28:52,41.11,42.7,45.43,85,6,3.36
219,Sanlucar De Barrameda,ES,2020-08-23 19:28:52,36.78,-6.35,82.4,65,0,8.05
220,Yakeshi,CN,2020-08-23 19:28:52,49.28,120.73,54.73,92,100,3.44
221,Olean,US,2020-08-23 19:24:58,42.08,-78.43,78.8,100,90,2.91
222,Coihaique,CL,2020-08-23 19:28:52,-45.58,-72.07,37.4,86,90,3.36
223,Bilibino,RU,2020-08-23 19:25:41,68.05,166.44,38.79,90,100,3.04
224,Naqadeh,IR,2020-08-23 19:28:52,36.96,45.39,62.04,68,0,4.52
225,Wake Forest,US,2020-08-23 19:28:52,35.98,-78.51,88.0,58,40,9.17
226,Cayenne,GF,2020-08-23 19:28:52,4.93,-52.33,86.0,74,5,11.41
227,Andenes,NO,2020-08-23 19:25:27,69.31,16.12,53.6,87,90,16.11
228,Bull Savanna,JM,2020-08-23 19:28:52,17.89,-77.59,83.59,74,100,6.31
229,Makat,KZ,2020-08-23 19:28:52,47.65,53.35,72.72,37,40,8.81
230,Quatre Cocos,MU,2020-08-23 19:28:52,-20.21,57.76,71.6,73,40,17.22
231,Pucallpa,PE,2020-08-23 19:28:52,-8.38,-74.55,82.4,48,40,3.36
232,Marawi,PH,2020-08-23 19:28:52,8.0,124.29,75.99,91,69,5.01
233,Monrovia,LR,2020-08-23 19:24:12,6.3,-10.8,77.0,94,75,4.7
