City_ID,City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
567,567,Narasapur,IN,16.45,81.67,79.29,90,100,1.03,overcast clouds
568,568,Miles City,US,46.41,-105.84,89.6,15,1,9.17,clear sky
570,570,Umm Kaddadah,SD,13.6,26.69,81.03,64,94,14.25,overcast clouds
577,577,Sibenik,HR,43.73,15.91,80.6,54,12,6.93,few clouds
578,578,Boa Vista,BR,2.82,-60.67,77.0,78,40,8.05,scattered clouds
580,580,Manokwari,ID,-0.87,134.08,79.81,75,68,5.97,moderate rain
585,585,Shimoda,JP,34.67,138.95,78.8,88,75,13.87,broken clouds
587,587,Vung Tau,VN,10.35,107.08,81.12,81,40,7.45,scattered clouds
588,588,Sinjar,IQ,36.32,41.88,78.44,25,0,6.89,clear sky
593,593,Portland,US,45.52,-122.68,84.0,32,20,8.05,few clouds
595,595,Oakdale,US,44.96,-92.96,89.01,45,1,6.93,clear sky
597,597,Pittsfield,US,42.45,-73.25,75.2,64,1,8.05,clear sky
600,600,Piney Green,US,34.72,-77.32,75.2,88,1,4.72,clear sky
603,603,Matay,EG,28.42,30.78,79.11,43,0,11.32,clear sky
605,605,Salalah,OM,17.02,54.09,77.0,94,90,6.93,light intensity drizzle
608,608,Binzhou,CN,37.37,118.02,86.0,73,96,3.0,light rain
610,610,Sao Felix Do Xingu,BR,-6.64,-51.99,81.73,37,29,0.81,scattered clouds
612,612,Palestine,PS,31.92,35.2,78.8,74,0,6.93,clear sky
614,614,Katihar,IN,25.53,87.58,82.2,77,20,1.01,few clouds
617,617,Effingham,US,32.37,-81.33,82.4,69,75,10.29,broken clouds
619,619,Goderich,CA,43.75,-81.72,84.0,68,0,1.99,clear sky
620,620,Sabang,ID,5.89,95.32,82.96,73,63,9.06,light rain
621,621,North Bend,US,43.41,-124.22,78.01,68,1,25.28,clear sky
622,622,Vilhena,BR,-12.74,-60.15,77.0,53,24,4.7,few clouds
627,627,Nioro,GM,13.35,-15.75,75.13,85,100,2.17,overcast clouds
635,635,Lianzhou,CN,24.78,112.38,81.75,81,3,1.59,clear sky
642,642,Itoman,JP,26.12,127.67,80.6,88,75,35.57,heavy intensity shower rain
645,645,Marzuq,YE,14.4,46.47,81.27,51,89,5.75,overcast clouds
646,646,Robertsport,LR,6.75,-11.37,76.26,90,97,18.9,light rain
650,650,Tuban,ID,-6.9,112.06,77.09,80,44,6.08,scattered clouds
654,654,Kupang,ID,-10.17,123.58,78.8,31,20,6.93,few clouds
658,658,Roebourne,AU,-20.78,117.13,81.72,21,56,3.0,broken clouds
659,659,Dingle,PH,11.0,122.67,81.68,81,39,3.11,scattered clouds
663,663,Wajima,JP,37.4,136.9,78.8,83,40,3.36,scattered clouds
664,664,Saint-Raymond,CA,45.47,-73.61,78.8,69,75,6.93,broken clouds
667,667,Baisha,CN,26.52,110.93,80.74,77,2,2.86,clear sky
668,668,Terra Santa,BR,-2.1,-56.49,80.74,53,39,3.09,scattered clouds
671,671,Kushima,JP,31.46,131.23,84.2,70,75,4.7,broken clouds
673,673,Dong Xoai,VN,11.53,106.92,76.75,93,79,2.17,broken clouds
675,675,Saint-Louis,SN,16.33,-15.0,83.55,69,96,12.93,overcast clouds
677,677,Sao Gabriel Da Cachoeira,BR,-0.13,-67.09,79.72,64,73,1.39,broken clouds
678,678,Wucheng,CN,29.6,118.17,84.99,93,0,1.03,clear sky
682,682,Vieste,IT,41.88,16.18,75.2,78,5,2.24,clear sky
683,683,Coahuayana,MX,18.73,-103.68,75.2,88,75,11.41,thunderstorm
685,685,Cartagena,CO,10.4,-75.51,82.4,83,75,4.7,broken clouds
695,695,Jalu,LY,29.03,21.55,78.6,44,0,12.82,clear sky
698,698,Chino Valley,US,34.76,-112.45,84.2,39,1,8.05,clear sky
701,701,Sheridan,US,44.83,-106.92,86.0,25,1,5.82,clear sky
705,705,Irbil,IQ,36.19,44.01,84.2,21,0,8.05,clear sky
710,710,West Bay,KY,19.37,-81.42,87.8,79,20,9.17,few clouds
712,712,Kuala Terengganu,MY,5.33,103.14,77.0,94,20,3.36,few clouds
